Accession,Description,trt,measurement
AT1G79690,| Symbols: atnudt3  NUDT3 | nudix hydrolase homolog 3 | chr1:29985360-29990171 FORWARD LENGTH=772,6,196
AT1G79690,| Symbols: atnudt3  NUDT3 | nudix hydrolase homolog 3 | chr1:29985360-29990171 FORWARD LENGTH=772,6,227
AT1G79690,| Symbols: atnudt3  NUDT3 | nudix hydrolase homolog 3 | chr1:29985360-29990171 FORWARD LENGTH=772,6,189
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,2,24.108
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,2,21.525
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,2,18.942
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,6,33
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,6,31
AT1G79750,| Symbols: ATNADP-ME4  NADP-ME4 | NADP-malic enzyme 4 | chr1:30007655-30011179 REVERSE LENGTH=646,6,25
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,2,80.934
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,2,99.015
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,2,83.517
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,6,74
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,6,84
AT1G79920,| Symbols:  | Heat shock protein 70 (Hsp 70) family protein | chr1:30058935-30062224 REVERSE LENGTH=831,6,75
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,2,67.158
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,2,67.158
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,2,62.853
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,6,55
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,6,61
AT1G79930,| Symbols: HSP91 | heat shock protein 91 | chr1:30063781-30067067 REVERSE LENGTH=831,6,52
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,2,5.166
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,2,5.166
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,2,6.888
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,6,7
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,6,9
AT1G80090,| Symbols:  | Cystathionine beta-synthase (CBS) family protein | chr1:30130104-30131855 FORWARD LENGTH=402,6,5
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,2,12.915
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,2,13.776
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,2,12.054
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,6,12
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,6,12
AT1G80300,| Symbols: NTT1  ATNTT1 | nucleotide transporter 1 | chr1:30191954-30194280 FORWARD LENGTH=624,6,14
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,2,24.108
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,2,28.413
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,2,28.413
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,6,15
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,6,24
AT1G80410,| Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897,6,28
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,2,9.471
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,2,7.749
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,2,7.749
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,6,7
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,6,9
AT1G80490,| Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1120,6,10
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,2,13.776
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,2,13.776
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,2,13.776
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,6,18
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,6,11
AT1G80560,| Symbols: ATIMD2  IMD2 | isopropylmalate dehydrogenase 2 | chr1:30287833-30290126 FORWARD LENGTH=405,6,12
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,2,9.471
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,2,9.471
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,2,6.888
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,6,6
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,6,7
AT1G80600,| Symbols: WIN1 | HOPW1-1-interacting 1 | chr1:30298675-30300513 REVERSE LENGTH=457,6,8
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,2,6.888
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,2,8.61
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,2,6.027
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,6,6
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,6,7
AT1G80660,| Symbols: AHA9  HA9 | H(+)-ATPase 9 | chr1:30316227-30319948 REVERSE LENGTH=954,6,7
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,2,99.015
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,2,105.042
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,2,83.517
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,6,90
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,6,88
AT2G01140,| Symbols:  | Aldolase superfamily protein | chr2:95006-96491 REVERSE LENGTH=391,6,84
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,2,30.135
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,2,23.247
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,2,24.108
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,6,20
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,6,20
AT2G01470,| Symbols: STL2P  ATSEC12 | SEC12P-like 2 protein | chr2:212215-214435 REVERSE LENGTH=393,6,16
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,2,9.471
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,2,7.749
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,2,6.027
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,6,5
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,6,4
AT2G01820,| Symbols:  | Leucine-rich repeat protein kinase family protein | chr2:357664-360681 REVERSE LENGTH=943,6,5
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,2,11.193
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,2,13.776
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,2,15.498
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,6,24
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,6,25
AT2G02120,| Symbols: PDF2.1  LCR70 | Scorpion toxin-like knottin superfamily protein | chr2:538319-538842 FORWARD LENGTH=77,6,29
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,2,25.83
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,2,24.969
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,2,24.969
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,6,20
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,6,20
AT2G02390,| Symbols: ATGSTZ1  GST18  GSTZ1 | glutathione S-transferase zeta 1 | chr2:629015-630955 FORWARD LENGTH=221,6,22
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,2,26.691
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,2,22.386
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,2,20.664
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,6,8
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,6,9
AT2G02560,| Symbols: CAND1  ATCAND1  ETA2  TIP120  HVE | cullin-associated and neddylation dissociated | chr2:690345-697342 FORWARD LENGTH=1219,6,6
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,2,6.888
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,2,11.193
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,2,6.888
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,6,9
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,6,6
AT2G02850,| Symbols: ARPN | plantacyanin | chr2:826630-827720 REVERSE LENGTH=129,6,6
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,2,5.166
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,2,4.305
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,2,6.888
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,6,5
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,6,8
AT2G03690,| Symbols:  | coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein | chr2:1122122-1123011 REVERSE LENGTH=226,6,5
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,2,24.969
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,2,26.691
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,2,21.525
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,6,14
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,6,19
AT2G04030,| Symbols: CR88  EMB1956  HSP90.5  Hsp88.1  AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780,6,18
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,2,14.637
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,2,9.471
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,2,9.471
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,6,8
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,6,5
AT2G04350,| Symbols: LACS8 | AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,6,8
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,2,8.61
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,2,13.776
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,2,11.193
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,6,8
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,6,9
AT2G04390,| Symbols:  | Ribosomal S17 family protein | chr2:1527911-1528336 FORWARD LENGTH=141,6,11
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,2,15.498
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,2,10.332
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,2,12.915
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,6,13
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,6,11
AT2G04690,| Symbols:  | Pyridoxamine 5'-phosphate oxidase family protein | chr2:1644628-1646179 FORWARD LENGTH=210,6,12
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,2,17.22
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,2,16.359
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,2,17.22
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,6,5
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,6,7
AT2G05070,| Symbols: LHCB2.2  LHCB2 | photosystem II light harvesting complex gene 2.2 | chr2:1799436-1800329 REVERSE LENGTH=265,6,8
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,2,17.22
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,2,16.359
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,2,17.22
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,6,5
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,6,7
AT2G05100,| Symbols: LHCB2.1  LHCB2 | photosystem II light harvesting complex gene 2.1 | chr2:1823449-1824331 REVERSE LENGTH=265,6,8
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,2,8.61
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,2,14.637
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,2,11.193
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,6,8
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,6,10
AT2G05220,| Symbols:  | Ribosomal S17 family protein | chr2:1894757-1895179 REVERSE LENGTH=140,6,12
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,2,66.297
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,2,68.019
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,2,57.687
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,6,82
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,6,68
AT2G05580,| Symbols:  | Glycine-rich protein family | chr2:2055578-2056563 FORWARD LENGTH=302,6,60
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,2,101.598
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,2,99.015
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,2,89.544
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,6,91
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,6,94
AT2G05710,| Symbols: ACO3 | aconitase 3 | chr2:2141591-2146350 FORWARD LENGTH=990,6,99
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,2,39.606
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,2,43.05
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,2,38.745
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,6,35
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,6,42
AT2G05920,| Symbols:  | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754,6,38
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,2,147.231
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,2,159.285
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,2,137.76
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,6,114
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,6,114
AT2G05990,| Symbols: MOD1  ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390,6,116
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,2,34.44
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,2,26.691
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,2,31.857
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,6,15
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,6,16
AT2G07050,| Symbols: CAS1 | cycloartenol synthase 1 | chr2:2924629-2930295 FORWARD LENGTH=759,6,13
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,2,6.027
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,2,8.61
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,2,6.027
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,6,7
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,6,7
AT2G07560,| Symbols: AHA6  HA6 | H(+)-ATPase 6 | chr2:3170394-3173952 REVERSE LENGTH=949,6,7
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,2,102.459
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,2,100.737
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,2,92.127
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,6,86
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,6,83
AT2G07698,| Symbols:  | ATPase  F1 complex  alpha subunit protein | chr2:3361474-3364028 FORWARD LENGTH=777,6,76
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,2,16.359
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,2,15.498
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,2,18.942
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,6,15
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,6,15
AT2G09990,| Symbols:  | Ribosomal protein S5 domain 2-like superfamily protein | chr2:3781442-3781882 FORWARD LENGTH=146,6,19
AT2G14170,| Symbols: ALDH6B2 | aldehyde dehydrogenase  6B2 | chr2:5977727-5981899 REVERSE LENGTH=607,2,26.691
AT2G14170,| Symbols: ALDH6B2 | aldehyde dehydrogenase  6B2 | chr2:5977727-5981899 REVERSE LENGTH=607,2,22.386
AT2G14170,| Symbols: ALDH6B2 | aldehyde dehydrogenase  6B2 | chr2:5977727-5981899 REVERSE LENGTH=607,2,28.413
AT2G14170,| Symbols: ALDH6B2 | aldehyde dehydrogenase  6B2 | chr2:5977727-5981899 REVERSE LENGTH=607,6,29
